"claim_id","source_path","source_lines","section","atomic_claim","claim_class","domain","stated_maturity_or_target_version","normativity","expected_evidence","corroborating_or_related_sources","potential_conflict_or_drift","review_risk","initial_notes"
"CQL-WP-BEC70AB6E96A","WHITEPAPER.md","662","9.3 Tie-Breaking Rules","Secondary: CONTEXT_COUNT() descending -- entities in more contexts rank higher.","design-claim","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-459FDED05AE3","WHITEPAPER.md","663","9.3 Tie-Breaking Rules","Tertiary: Entity key value ascending -- deterministic for reproducibility.","design-claim","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-6AEE5F7CB9DC","WHITEPAPER.md","665","9.3 Tie-Breaking Rules","Additional ORDER BY columns after CONTEXT serve as explicit tie-breakers and override the secondary and tertiary defaults.","behavior-semantics","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-432F9EC86564","WHITEPAPER.md","669","9.4 Multi-Binding Score Aggregation","When a query contains multiple CONTEXT ON bindings, scoring follows a two-stage model:","architecture","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-5245C08BBD7B","WHITEPAPER.md","671","9.4 Multi-Binding Score Aggregation","Stage 1 -- Within-binding: Each binding produces one score using the standard context algebra rules (MAX for union, MIN for intersection, WEIGHTED_MAX for weighted composition).","architecture","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","SPEC.md:246-261; DECISIONS.md:53-80,604-645","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-98FDDD9F7D39","WHITEPAPER.md","673","9.4 Multi-Binding Score Aggregation","Stage 2 -- Cross-binding: Binding scores are combined using MIN: sigma(e) = MIN(sigma_b1(e), sigma_b2(e), ..., sigma_bn(e)).","architecture","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","SPEC.md:246-261; DECISIONS.md:53-80,604-645","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-F84E862A4B34","WHITEPAPER.md","675","9.4 Multi-Binding Score Aggregation","The entity is only as urgent as the weakest signal across dimensions, consistent with fuzzy logic intersection.","behavior-semantics","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","SPEC.md:246-261; DECISIONS.md:53-80,604-645","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-05FE5D745E76","WHITEPAPER.md","733","10.2 Semantics","It is a performance optimization for large entity sets:","performance-target","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","reproducible benchmark with dataset, hardware, configuration, and raw results","","","medium","Direct declarative extraction from the whitepaper."
"CQL-WP-0E13830F9ACB","WHITEPAPER.md","733","10.2 Semantics","Context windowing limits the candidate entity set before ranking and projection.","behavior-semantics","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-954149ACFE97","WHITEPAPER.md","735","10.2 Semantics","Resolve context membership (entity set).","behavior-semantics","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","SPEC.md:306-325; DECISIONS.md:1107-1403; docs/architecture/BITMAP_CONTEXT_STORAGE.md","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-F4B108FC980E","WHITEPAPER.md","736","10.2 Semantics","If cardinality exceeds window_size, truncate to the top-scoring entities.","behavior-semantics","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-CE6F4B903EF2","WHITEPAPER.md","737","10.2 Semantics","Apply remaining WHERE predicates, ORDER BY, and projection on the windowed set.","behavior-semantics","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-5C43588D39FE","WHITEPAPER.md","739","10.2 Semantics","WITH CONTEXT WINDOW applies before additional WHERE predicates.","behavior-semantics","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-F9EA1076B2F2","WHITEPAPER.md","739","10.2 Semantics","LIMIT applies after ORDER BY.","behavior-semantics","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-4988B499ED48","WHITEPAPER.md","743","10.3 Windowing Without Scores","This is configurable to an error via SET contextql.window_requires_scores = 'error'.","behavior-semantics","developer-platform","architecture claim; maturity not stated locally","descriptive assertion","public interface implementation, protocol/API tests, and user-facing example","SPEC.md:246-261; DECISIONS.md:53-80,604-645","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-76008D58AA00","WHITEPAPER.md","743","10.3 Windowing Without Scores","If contexts have no scores, windowing truncates by entity key ascending order.","behavior-semantics","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","SPEC.md:246-261; DECISIONS.md:53-80,604-645","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-A53CCEF84A8E","WHITEPAPER.md","743","10.3 Windowing Without Scores","Results may not reflect business priority.","behavior-semantics","language-semantics","architecture claim; maturity not stated locally","design-intent","grammar/parser support, semantic implementation, and positive/negative conformance tests","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-F6B02C9B10FA","WHITEPAPER.md","743","10.3 Windowing Without Scores","The engine emits a warning: W101: CONTEXT WINDOW applied without scores; truncation order is by entity key ascending.","behavior-semantics","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","SPEC.md:246-261; DECISIONS.md:53-80,604-645","Warning-code collision: SPEC.md:325,547 assigns W101 to failed refresh; contextql/errors.py:165-167 assigns window-without-score to W001.","high","Direct declarative extraction from the whitepaper."
"CQL-WP-C5C16B448A02","WHITEPAPER.md","751","11.1 Flat Event Log with Object-Centric Extension Path","The CREATE EVENT LOG DDL is designed to be forward-compatible with OCEL extensions.","maturity-status","process-intelligence","architecture claim; maturity not stated locally","design-intent","implementation artifact plus executable acceptance test or release record","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","Whitepaper status defers OCEL to v2; DECISIONS.md:390-397 confirms deferral.","high","Direct declarative extraction from the whitepaper."
"CQL-WP-EC85D026E6E7","WHITEPAPER.md","751","11.1 Flat Event Log with Object-Centric Extension Path","Object-centric event logs (OCEL 2.0), where a single event may relate to multiple object types, are deferred to v2.","maturity-status","process-intelligence","v2 target or discussion","design-intent","implementation artifact plus executable acceptance test or release record","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","Whitepaper status defers OCEL to v2; DECISIONS.md:390-397 confirms deferral.","high","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-FD6FDFD53947","WHITEPAPER.md","751","11.1 Flat Event Log with Object-Centric Extension Path","ContextQL v1 operates on a flat event log model where each event is associated with exactly one case identifier.","design-claim","process-intelligence","v1 target or contract","descriptive assertion","function/DDL implementation and event-log conformance fixtures","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-22088BEC8143","WHITEPAPER.md","766","11.2 CREATE EVENT LOG","This declares the mapping between a relational table and the event schema that process functions require.","design-claim","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-4B476D104A51","WHITEPAPER.md","766","11.2 CREATE EVENT LOG","RESOURCE, ATTRIBUTES, DESCRIPTION, and TAGS are optional.","design-claim","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-5C06611A3F95","WHITEPAPER.md","766","11.2 CREATE EVENT LOG","Constraints enforce non-NULL case IDs, activities, and timestamps.","design-claim","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-9BB20EDF1AA0","WHITEPAPER.md","766","11.2 CREATE EVENT LOG","Rows violating these constraints are silently excluded with a per-query warning.","design-claim","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-B8EB87117735","WHITEPAPER.md","766","11.2 CREATE EVENT LOG","The ON, ACTIVITY, and TIMESTAMP clauses are required","requirement","process-intelligence","architecture claim; maturity not stated locally","normative","function/DDL implementation and event-log conformance fixtures","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-2B152E8A863F","WHITEPAPER.md","770","11.3 Event Log Binding","When a process function is invoked, the engine resolves the matching event log by entity key type compatibility.","behavior-semantics","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-331878BC4D23","WHITEPAPER.md","770","11.3 Event Log Binding","If multiple logs match, the query is ambiguous -- use USING EVENT LOG to disambiguate.","design-claim","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-B20FD97D4D27","WHITEPAPER.md","770","11.3 Event Log Binding","Process functions bind to declared event logs through the query's entity context.","design-claim","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-D6B909685477","WHITEPAPER.md","770","11.3 Event Log Binding","A session-level default is also supported: SET contextql.default_event_log = 'production_events'.","behavior-semantics","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-00D7459F1FA9","WHITEPAPER.md","774","11.4 ProcessTrace Pre-Computation","At execution time, the engine materializes the event log as a sorted Arrow table and pre-computes per-case structures:","design-claim","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-60E1E8E59EBE","WHITEPAPER.md","850","11.5 Companion DDL","DROP EVENT LOG removes only the declaration, not the underlying table.","language-surface","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-3DDEFC32743A","WHITEPAPER.md","867","12.1 PARETO_SUM","Time complexity: O(n log n), dominated by the implicit sort.","performance-target","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","reproducible benchmark with dataset, hardware, configuration, and raw results","","","medium","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-6C2FBFB33076","WHITEPAPER.md","867","12.1 PARETO_SUM","NULL values are ignored per standard SQL aggregate semantics.","behavior-semantics","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-EB9C16129078","WHITEPAPER.md","867","12.1 PARETO_SUM","Computes the cumulative proportion of the total for each group when ordered by value descending, enabling Pareto (80/20) analysis.","design-claim","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-592FD7422C0C","WHITEPAPER.md","879","12.2 HISTOGRAM","Returns a table with columns (bin_low, bin_high, count, frequency).","behavior-semantics","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-A0461BEE69A5","WHITEPAPER.md","879","12.2 HISTOGRAM","Computes an equi-width histogram with the specified number of bins.","maturity-status","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","implementation artifact plus executable acceptance test or release record","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-A6C69589E14D","WHITEPAPER.md","879","12.2 HISTOGRAM","Alternative histogram types (logarithmic, quantile) are deferred to v2.","maturity-status","language-semantics","v2 target or discussion","descriptive assertion","implementation artifact plus executable acceptance test or release record","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-15B85CB94C26","WHITEPAPER.md","891","12.3 CLUSTER","The K parameter specifies the number of clusters (default: CEIL(SQRT(n/2))). v1 supports k-means only; alternative algorithms are deferred to v2.","maturity-status","product-architecture","v2 target or discussion","descriptive assertion","implementation artifact plus executable acceptance test or release record","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-884179CDA117","WHITEPAPER.md","891","12.3 CLUSTER","Assigns each entity to a cluster using k-means++ initialization with Lloyd's iteration.","design-claim","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-9A7287F9E5B7","WHITEPAPER.md","891","12.3 CLUSTER","Rows with NULL in any feature column are excluded from clustering and appear in the output with cluster_id = NULL.","design-claim","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-6564DF5E59FF","WHITEPAPER.md","897","13. Process Intelligence Functions","ContextQL provides nine process-aware functions that operate on declared event logs.","design-claim","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-0E6BAEAC9334","WHITEPAPER.md","907","13.1 THROUGHPUT_TIME","Returns NULL for cases with no events.","performance-target","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","reproducible benchmark with dataset, hardware, configuration, and raw results","","","medium","Direct declarative extraction from the whitepaper."
"CQL-WP-95B19CA9EAB6","WHITEPAPER.md","907","13.1 THROUGHPUT_TIME","Complexity: O(1) per case (reads from ProcessTrace).","performance-target","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","reproducible benchmark with dataset, hardware, configuration, and raw results","","","medium","Direct declarative extraction from the whitepaper."
"CQL-WP-AF0CEF665487","WHITEPAPER.md","907","13.1 THROUGHPUT_TIME","Returns the elapsed wall-clock time from the first event to the last event for a case.","performance-target","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","reproducible benchmark with dataset, hardware, configuration, and raw results","","","medium","Direct declarative extraction from the whitepaper."
"CQL-WP-6AAE1101C34B","WHITEPAPER.md","917","13.2 THROUGHPUT_TIME_BETWEEN","Returns NULL if either activity is absent.","performance-target","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","reproducible benchmark with dataset, hardware, configuration, and raw results","","","medium","Direct declarative extraction from the whitepaper."
"CQL-WP-7664F5927A75","WHITEPAPER.md","917","13.2 THROUGHPUT_TIME_BETWEEN","Returns the elapsed time between the first occurrence of the start activity and the first occurrence of the end activity.","performance-target","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","reproducible benchmark with dataset, hardware, configuration, and raw results","","","medium","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-379CFC1E7960","WHITEPAPER.md","921","13.3 PATH_STRING","No escaping is applied to activity names containing the arrow delimiter.","interface-contract","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-DEEA6D64D68C","WHITEPAPER.md","921","13.3 PATH_STRING","Returns the arrow-delimited activity sequence: 'Create Order -> Approve -> Ship'.","behavior-semantics","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-293781313801","WHITEPAPER.md","931","13.4 PATH_CONTAINS","Returns TRUE if the case's activity sequence matches the pattern.","behavior-semantics","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-CB219181F291","WHITEPAPER.md","931","13.4 PATH_CONTAINS","Pattern matching uses NFA-based compilation: each pattern element becomes a state, -> creates a direct-follow transition, and wildcard * creates epsilon/self-loop transitions.","design-claim","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-D9726F61A7C4","WHITEPAPER.md","931","13.4 PATH_CONTAINS","Complexity: O(m * p) per case where m = trace length, p = pattern states.","performance-target","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","reproducible benchmark with dataset, hardware, configuration, and raw results","","","medium","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-4BE824557591","WHITEPAPER.md","941","13.5 REWORK_COUNT","REWORK_COUNT(NULL) returns NULL, following SQL null-propagation semantics.","behavior-semantics","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-577D01DE1882","WHITEPAPER.md","941","13.5 REWORK_COUNT","Returns the number of times the specified activity appears in a case's trace, minus one (the first occurrence is not rework).","maturity-status","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","implementation artifact plus executable acceptance test or release record","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-8456FB60A256","WHITEPAPER.md","945","13.6 CASE_START and CASE_END","Return the timestamp of the first and last event for a case, respectively.","design-claim","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-1AA9D0E7E560","WHITEPAPER.md","949","13.7 VARIANT","Cases with identical activity sequences share the same variant string.","design-claim","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-9C295B528B16","WHITEPAPER.md","949","13.7 VARIANT","Returns a canonical path string representing the process variant (unique activity sequence).","behavior-semantics","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-41892100225A","WHITEPAPER.md","953","13.8 ACTIVITY_COUNT","Returns the total number of events for a case.","behavior-semantics","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-8D9A05AB3DB6","WHITEPAPER.md","953","13.8 ACTIVITY_COUNT","Returns 0 for empty cases (no events found).","behavior-semantics","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-1EEB5D6234B4","WHITEPAPER.md","957","13.9 Process-Aware Context Definitions","Process functions can appear within context definitions, enabling process-driven contexts:","design-claim","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-A03C9942452A","WHITEPAPER.md","969","13.9 Process-Aware Context Definitions","These contexts can then be composed with other contexts using the standard algebra:","design-claim","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","SPEC.md:132-138; DECISIONS.md:110-123","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-0E5BB26C9F00","WHITEPAPER.md","991","14.1 CREATE PROCESS MODEL","Declares a process model as a set of expected activity sequences. v1 supports variant matching only (explicit path enumeration).","design-claim","process-intelligence","v1 target or contract","aspirational","function/DDL implementation and event-log conformance fixtures","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-80C5B7843B1A","WHITEPAPER.md","991","14.1 CREATE PROCESS MODEL","Token replay conformance and automatic process discovery are deferred to v2.","maturity-status","process-intelligence","v2 target or discussion","descriptive assertion","implementation artifact plus executable acceptance test or release record","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406; README.md:102-263,303-326; docs/TOOLING.md:25-209","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-6EF8084DD356","WHITEPAPER.md","1000","14.2 CONFORMS_TO","Returns TRUE if the case's actual activity sequence matches any declared variant in the process model.","behavior-semantics","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-B066E922B6C2","WHITEPAPER.md","1012","14.3 DEVIATION_SCORE and DEVIATION_TYPE","DEVIATION_TYPE returns a categorical label describing the type of deviation (e.g., 'SKIP', 'INSERT', 'SWAP').","behavior-semantics","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-E0B33BFAED44","WHITEPAPER.md","1012","14.3 DEVIATION_SCORE and DEVIATION_TYPE","DEVIATION_SCORE returns a [0.0, 1.0] score quantifying the degree of deviation.","behavior-semantics","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","SPEC.md:246-261; DECISIONS.md:53-80,604-645","SPEC.md:246-249 recommends [0,1], and DECISIONS.md:70-78 requires a warning outside it; the implementation assigns that warning W003, not whitepaper W100.","high","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-64B128CEBB83","WHITEPAPER.md","1029","15.1 Seven-Stage Pipeline","ContextQL uses a pull-based (Volcano-style) execution model with optional vectorized batching.","architecture","execution-optimization","architecture claim; maturity not stated locally","descriptive assertion","execution implementation, plan inspection, correctness tests, and relevant benchmark","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-A35AA186641A","WHITEPAPER.md","1029","15.1 Seven-Stage Pipeline","The pipeline has seven stages:","architecture","execution-optimization","architecture claim; maturity not stated locally","descriptive assertion","execution implementation, plan inspection, correctness tests, and relevant benchmark","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-AE023E24A424","WHITEPAPER.md","1077","15.1 Seven-Stage Pipeline","Each operator implements a next_batch() interface returning columnar Arrow RecordBatches (default batch size: 8192 rows), enabling pipelined execution without full materialization of intermediate results.","architecture","storage-lifecycle","architecture claim; maturity not stated locally","descriptive assertion","storage/catalog implementation, transition and concurrency tests, and recovery evidence","","","medium","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-F0CEC75F2DD1","WHITEPAPER.md","1077","15.1 Seven-Stage Pipeline","Independent contexts within a single query are resolved in parallel.","architecture","execution-optimization","architecture claim; maturity not stated locally","descriptive assertion","execution implementation, plan inspection, correctness tests, and relevant benchmark","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-808722068C7D","WHITEPAPER.md","1081","15.2 Stage Details","PARSE: Grammar-driven Earley parser (via Lark) producing concrete syntax trees with position tracking for context-specific productions.","language-surface","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-4E86C4312C69","WHITEPAPER.md","1083","15.2 Stage Details","ANALYZE: Resolves context names, checks entity key type compatibility, validates CONTEXT ON bindings, THEN chains, WEIGHT values, temporal qualifiers, parameter bindings (named only), and score function scope.","architecture","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","SPEC.md:246-261; DECISIONS.md:53-80,604-645; SPEC.md:132-138; DECISIONS.md:110-123; SPEC.md:250-257,327-334; DECISIONS.md:147-154,1332-1344,1396-1403","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-3EBBF5E3BAB5","WHITEPAPER.md","1085","15.2 Stage Details","PLAN: Transforms the annotated AST into a logical plan using extended relational algebra operators (LogicalContextResolve, LogicalContextCombine, LogicalContextFilter, LogicalContextScore, LogicalContextWindow, LogicalContextRank).","architecture","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","SPEC.md:246-261; DECISIONS.md:53-80,604-645","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-A70DEF0714F5","WHITEPAPER.md","1087","15.2 Stage Details","OPTIMIZE: Cost-based decisions on materialize vs. recompute, bitmap vs. hash-join for filtering, scoring strategy selection, predicate pushdown, and context combination ordering (smallest contexts first).","architecture","storage-lifecycle","architecture claim; maturity not stated locally","descriptive assertion","storage/catalog implementation, transition and concurrency tests, and recovery evidence","SPEC.md:306-325; DECISIONS.md:1107-1403; docs/architecture/BITMAP_CONTEXT_STORAGE.md","","medium","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-7EA54C2451B8","WHITEPAPER.md","1089","15.2 Stage Details","RESOLVE: Resolves contexts to entity sets from hot/warm storage or via inline evaluation.","architecture","storage-lifecycle","architecture claim; maturity not stated locally","descriptive assertion","storage/catalog implementation, transition and concurrency tests, and recovery evidence","","","medium","Direct declarative extraction from the whitepaper."
